,new_benchmark_no_dr,benchmark_overall_best,ICA_overall_best,PCA_overall_best,RP_overall_best,RF_overall_best
Unnamed: 0,16,156,33,33,33,258
mean_fit_time,2.0526000022888184,5.098599910736084,0.1039999008178711,0.06660008430480957,0.14524006843566895,0.05059990882873535
mean_score_time,0.011400032043457029,0.04120001792907715,0.0024001121520996088,0.001999950408935547,0.0017999649047851566,0.002200031280517578
mean_test_score,0.33610260472961284,0.35824543082953003,0.5326530612244903,0.5340136054421768,0.6666666666666667,0.6666666666666667
mean_train_score,0.3457331342089422,0.3554825660654209,0.533333333333337,0.533333333333336,0.6666666666666698,0.6666666666666698
param_NN__activation,,,,,,
param_NN__alpha,0.0001,0.001,0.1,0.1,0.1,0.0001
param_NN__hidden_layer_sizes,"(50,)","(50, 50)","(25,)","(25,)","(25,)","(25,)"
param_NN__learning_rate_init,,,,,,
param_gmm__n_components,,8,5,5,5,5
params,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,)}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}"
rank_test_score,1,1,1,1,1,1
split0_test_score,0.32018239325092906,0.29480215732807885,0.0,0.666666666666665,0.666666666666665,0.666666666666665
split0_train_score,0.3736728326741422,0.3245925287237988,0.0,0.666666666666665,0.666666666666665,0.666666666666665
split1_test_score,0.3505411912078403,0.32001050650089313,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669
split1_train_score,0.3546179033676601,0.31712059977634416,0.6666666666666713,0.6666666666666713,0.6666666666666713,0.6666666666666713
split2_test_score,0.32304300958477306,0.3206481574500168,0.6666666666666673,0.6666666666666673,0.6666666666666673,0.6666666666666673
split2_train_score,0.3328999451417713,0.33958660300728244,0.666666666666672,0.666666666666672,0.666666666666672,0.666666666666672
split3_test_score,0.3487495267445698,0.5093600286359741,0.6666666666666673,0.6666666666666673,0.6666666666666673,0.6666666666666673
split3_train_score,0.3293910027876609,0.4844906329313807,0.6666666666666718,0.6666666666666718,0.6666666666666718,0.6666666666666718
split4_test_score,0.33800194751568313,0.3464546218289438,0.6666666666666673,0.0,0.6666666666666673,0.6666666666666673
split4_train_score,0.3380839870734766,0.3116224658882982,0.6666666666666696,0.0,0.6666666666666696,0.6666666666666696
std_fit_time,0.5110094391566823,1.3248541512104968,0.02529048933675914,0.029863732805685224,0.035280397492553885,0.006151426345495543
std_score_time,0.002576795828573938,0.004707438053501679,0.0004899208705145336,1.1680077279964347e-07,0.0015999555614414648,0.0003999948608169696
std_test_score,0.012618120232048762,0.07729338178643264,0.26717551756197,0.2661551042107433,9.062828432969103e-16,9.062828432969103e-16
std_train_score,0.016430650177361766,0.06518482370938189,0.2666666666666685,0.266666666666668,2.624450757532128e-15,2.624450757532128e-15
