,new_benchmark_no_dr,benchmark_overall_best,ICA_overall_best,PCA_overall_best,RP_overall_best,RF_overall_best
Unnamed: 0,16,125,183,260,54,258
mean_fit_time,2.0526000022888184,3.816600036621094,0.11939988136291504,0.11239995956420898,0.2661999702453613,0.09579997062683106
mean_score_time,0.011400032043457029,0.010400009155273438,0.0018000602722167969,0.0028000354766845705,0.0020000457763671873,0.003200101852416993
mean_test_score,0.33610260472961284,0.3313852748477354,0.6666666666666667,0.07145567113464386,0.28740305876035965,0.17377005250395938
mean_train_score,0.3457331342089422,0.32969649904113896,0.6666666666666698,0.01701658811287264,0.21347143043641084,0.16539224203023567
param_NN__activation,,,,,,
param_NN__alpha,0.0001,0.01,0.001,0.0001,0.1,0.0001
param_NN__hidden_layer_sizes,"(50,)","(25, 25)","(25,)","(25,)","(25, 25)","(25,)"
param_NN__learning_rate_init,,,,,,
param_km__n_clusters,,7,5,7,15,5
params,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,)}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 7}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 7}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 15}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}"
rank_test_score,1,1,1,1,1,1
split0_test_score,0.32018239325092906,0.2522805619958629,0.666666666666665,0.3554647599591421,0.3571428571428572,0.4027777777777779
split0_train_score,0.3736728326741422,0.2939190220598766,0.666666666666665,0.0850829405643632,0.3047243231393187,0.42808746535263376
split1_test_score,0.3505411912078403,0.3221582144993189,0.6666666666666669,0.0,0.08695652173913045,0.0
split1_train_score,0.3546179033676601,0.31921801973089003,0.6666666666666713,0.0,0.04389427479710746,0.0
split2_test_score,0.32304300958477306,0.3440422353639277,0.6666666666666673,0.0,0.16666666666666669,0.0
split2_train_score,0.3328999451417713,0.3589868933257227,0.666666666666672,0.0,0.12614574825301764,0.0
split3_test_score,0.3487495267445698,0.3941501475980998,0.6666666666666673,0.0,0.2375967228038234,0.0
split3_train_score,0.3293910027876609,0.3589444464198635,0.6666666666666718,0.0,0.21860032882979505,0.0
split4_test_score,0.33800194751568313,0.3443214679688689,0.6666666666666673,0.0,0.5898397545175587,0.4663970729828614
split4_train_score,0.3380839870734766,0.3174141136693421,0.6666666666666696,0.0,0.37399247716281536,0.3988737447985445
std_fit_time,0.5110094391566823,0.378418155370126,0.010556528178675927,0.0076315728156508235,0.04214944732834382,0.002482004601726069
std_score_time,0.002576795828573938,0.0004899208705145336,0.00039994717710241986,0.001166105864116585,1.7841612752790173e-07,0.002400016784667969
std_test_score,0.012618120232048762,0.04606455205858919,9.062828432969103e-16,0.14245722182568776,0.17500085562512352,0.21377272430628225
std_train_score,0.016430650177361766,0.02551098979434714,2.624450757532128e-15,0.03403317622574528,0.11874560114044658,0.2027738512050884
