,new_benchmark_no_dr,benchmark_overall_best,ICA_overall_best,PCA_overall_best,RP_overall_best,RF_overall_best
Unnamed: 0,9,70,87,291,143,232
mean_fit_time,0.2963999748229981,0.3380001068115234,0.3607999324798584,0.2631599903106689,0.28663997650146483,0.11419997215270995
mean_score_time,0.003119993209838868,0.0029999256134033204,0.0009999752044677734,0.0012000083923339845,0.001199960708618164,0.0037200450897216797
mean_test_score,0.7166401206993184,0.5158090838534387,0.4536291802739171,0.4760737207533546,0.45549307089638896,0.5890941464883113
mean_train_score,0.7611162970873758,0.5936681362705343,0.5177001608454231,0.4958637524963568,0.4890945982854246,0.5856290968383663
param_NN__activation,,,,,,
param_NN__alpha,0.01,0.1,0.01,0.0001,0.01,0.0001
param_NN__hidden_layer_sizes,"(100, 25, 100)","(100, 25, 100)","(50, 50)","(100, 25, 100)","(100, 25, 100)","(50, 50)"
param_NN__learning_rate_init,,,,,,
param_gmm__n_components,,20,30,8,10,9
params,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100)}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 20}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 8}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 10}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}"
rank_test_score,1,1,1,1,1,1
split0_test_score,0.7381720430107526,0.4380568356374807,0.4792748917748917,0.4031385281385282,0.31677489177489176,0.5042748917748918
split0_train_score,0.7888232071843682,0.5857416966910766,0.5312640938083888,0.5057236202257464,0.4990753694687076,0.5579910167791103
split1_test_score,0.8203725038402457,0.5824692780337941,0.43425324675324667,0.5813311688311688,0.4670454545454545,0.6427489177489176
split1_train_score,0.8496691377573693,0.5973200469177887,0.4116335471757158,0.4892822627408028,0.5149161964895488,0.5776629819507211
split2_test_score,0.749673579109063,0.520103686635945,0.4041353383458647,0.4279448621553885,0.4486215538847118,0.6152882205513784
split2_train_score,0.8169042201412305,0.604400872114126,0.5703836074594072,0.4904950751126151,0.4727622475591094,0.607947131047604
split3_test_score,0.6192118226600986,0.5244047619047619,0.4266917293233082,0.4674185463659147,0.5363408521303258,0.5545112781954887
split3_train_score,0.6659531508768285,0.5841316626502552,0.591008366835753,0.472876109298818,0.5026089520662889,0.5916587744221122
split4_test_score,0.6514367816091954,0.5142081736909323,0.5241854636591481,0.5009398496240602,0.5141917293233085,0.6309523809523812
split4_train_score,0.6842317694770831,0.5967464029794245,0.4842111889478512,0.5209416951038017,0.45611022584346794,0.5928855799922832
std_fit_time,0.10942269797490778,0.059393576696659914,0.10990258791216743,0.10106805288221096,0.05361792616220281,0.004894071750261188
std_score_time,0.006239986419677736,1.1680077279964347e-07,0.0012648947801874055,0.0007483154790181155,0.0014696457256854294,0.005986191680555393
std_test_score,0.07213567307578463,0.04631370600600455,0.04259248958223814,0.06272743828137872,0.07717513449281856,0.05269527087632213
std_train_score,0.07306001067486749,0.007639064988753309,0.06435100102436367,0.016289202811027158,0.02146496210562561,0.01681921916294997
