,new_benchmark_no_dr,benchmark_overall_best,ICA_overall_best,PCA_overall_best,RP_overall_best,RF_overall_best
Unnamed: 0,9,221,146,69,215,149
mean_fit_time,0.2963999748229981,0.4212000370025635,0.5313199520111084,0.4013199806213379,0.31860008239746096,0.9257200241088868
mean_score_time,0.003119993209838868,0.0013999462127685547,0.0009999275207519533,0.001399993896484375,0.001199960708618164,0.004120016098022461
mean_test_score,0.7166401206993184,0.4876164467194432,0.3998212758510241,0.4908436412727031,0.4653135982798454,0.5901788534797687
mean_train_score,0.7611162970873758,0.5160980193580037,0.4129080634422797,0.4804233876293524,0.4859066481263752,0.6093369545726854
param_NN__activation,,,,,,
param_NN__alpha,0.01,0.001,0.01,0.1,0.001,0.01
param_NN__hidden_layer_sizes,"(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)"
param_NN__learning_rate_init,,,,,,
param_km__n_clusters,,25,25,15,7,40
params,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100)}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 25}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 25}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 15}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 7}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 40}"
rank_test_score,1,1,1,1,1,1
split0_test_score,0.7381720430107526,0.4368471582181259,0.4252164502164503,0.4283549783549783,0.4515151515151515,0.5173160173160173
split0_train_score,0.7888232071843682,0.5200842707757507,0.4234000938820216,0.4522573870731205,0.4879834847411035,0.5885792213928288
split1_test_score,0.8203725038402457,0.5994623655913979,0.4654220779220779,0.5012445887445887,0.4091991341991341,0.6058982683982683
split1_train_score,0.8496691377573693,0.5504338688335505,0.4816902445534621,0.4411249275175569,0.4801793882942005,0.6357506419873535
split2_test_score,0.749673579109063,0.4568932411674349,0.2857142857142857,0.5545112781954886,0.4436090225563909,0.6296992481203008
split2_train_score,0.8169042201412305,0.4989305087248962,0.2978075091061922,0.4963725363413033,0.4819498978762572,0.5852839327424398
split3_test_score,0.6192118226600986,0.4743021346469623,0.3583959899749373,0.4830827067669173,0.4949874686716792,0.5451127819548873
split3_train_score,0.6659531508768285,0.5706260004893492,0.4175724892625327,0.494555492304903,0.481888925796842,0.6253742318532257
split4_test_score,0.6514367816091954,0.4693805874840358,0.4625939849624061,0.4890350877192983,0.5299185463659148,0.6559523809523811
split4_train_score,0.6842317694770831,0.4404154479664717,0.44406998040718976,0.5178065949098781,0.4975315439234728,0.6116967448875793
std_fit_time,0.10942269797490778,0.046563390529997736,0.1840365108254042,0.07063838619005568,0.060816483145569915,0.3947483527771498
std_score_time,0.006239986419677736,0.0004899208473093903,0.0006324096921322909,0.0004897846048886376,0.0004000663757324219,0.005856402550149637
std_test_score,0.07213567307578463,0.057862921244846426,0.06852257249666634,0.04048601022518181,0.04197989251084908,0.051944092089599964
std_train_score,0.07306001067486749,0.04514580051257363,0.0617770680540849,0.02894577160231675,0.006388284950781939,0.01984881407880777
