,ass1_benchmark,new_benchmark_no_dr,ass1_ICA_dr,ass1_PCA_dr,ass1_RP_dr,ass1_RF_dr
Unnamed: 0,0,16,0,0,0,0
mean_fit_time,1.162399959564209,2.0526000022888184,0.06259994506835938,0.06260008811950682,0.0727999210357666,0.3301999568939209
mean_score_time,0.004600095748901367,0.011400032043457029,0.001600027084350586,0.0018000125885009766,0.0018001079559326171,0.1078000545501709
mean_test_score,0.3012320328925706,0.33610260472961284,0.0,0.0,0.19148029894508747,0.0
mean_train_score,0.30739993993941944,0.3457331342089422,0.0,0.0,0.25904629120983,0.0
param_NN__activation,relu,,relu,relu,relu,relu
param_NN__alpha,1.0,0.0001,1.0,1.0,1.0,1.0
param_NN__hidden_layer_sizes,"(8, 8)","(50,)","(8, 8)","(8, 8)","(8, 8)","(8, 8)"
param_NN__learning_rate_init,0.016,,0.016,0.016,0.016,0.016
params,"{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (8, 8), 'NN__learning_rate_init': 0.016}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,)}","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (8, 8), 'NN__learning_rate_init': 0.016}","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (8, 8), 'NN__learning_rate_init': 0.016}","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (8, 8), 'NN__learning_rate_init': 0.016}","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (8, 8), 'NN__learning_rate_init': 0.016}"
rank_test_score,1,1,1,1,1,1
split0_test_score,0.2970041172410533,0.32018239325092906,0.0,0.0,0.11720404801129675,0.0
split0_train_score,0.3221962364005189,0.3736728326741422,0.0,0.0,0.0906476790360125,0.0
split1_test_score,0.31595608579328954,0.3505411912078403,0.0,0.0,0.1167643610785463,0.0
split1_train_score,0.3180713166810449,0.3546179033676601,0.0,0.0,0.21200281816435,0.0
split2_test_score,0.25101672634209354,0.32304300958477306,0.0,0.0,0.2222222222222222,0.0
split2_train_score,0.27428916056240304,0.3328999451417713,0.0,0.0,0.28327158734682195,0.0
split3_test_score,0.3184760156762006,0.3487495267445698,0.0,0.0,0.27681660899653976,0.0
split3_train_score,0.2943925084528016,0.3293910027876609,0.0,0.0,0.2815958989578762,0.0
split4_test_score,0.32372099882714644,0.33800194751568313,0.0,0.0,0.22535211267605634,0.0
split4_train_score,0.3280504776003285,0.3380839870734766,0.0,0.0,0.4277134725440892,0.0
std_fit_time,0.19356093453203696,0.5110094391566823,0.01351450371897881,0.017071498820272504,0.00844752058093565,0.013287564612647962
std_score_time,0.0012000163484358276,0.002576795828573938,0.0004898819214545809,0.0009798027648959863,0.00040009022824606964,0.005344027101228172
std_test_score,0.026681730881264243,0.012618120232048762,0.0,0.0,0.0640056550910781,0.0
std_train_score,0.02012347067999745,0.016430650177361766,0.0,0.0,0.10964957708993517,0.0
