,ass1_benchmark,new_benchmark_no_dr,ass1_ICA_dr,ass1_PCA_dr,ass1_RP_dr,ass1_RF_dr
Unnamed: 0,0,9,0,0,0,0
mean_fit_time,0.09768009185791016,0.2963999748229981,0.05480003356933594,0.0570000171661377,0.10879998207092284,0.33987994194030763
mean_score_time,0.003319931030273437,0.003119993209838868,0.0007999897003173827,0.0008000373840332031,0.0009999752044677734,0.10540003776550293
mean_test_score,0.7360583134481214,0.7166401206993184,0.2521771771771772,0.40999971509826216,0.7434617867112305,0.5978560336466691
mean_train_score,0.7698116965833426,0.7611162970873758,0.25539373536299764,0.3969019308897877,0.7846993362584789,0.5916764443309214
param_NN__activation,relu,,relu,relu,relu,relu
param_NN__alpha,1.0,0.01,1.0,1.0,1.0,1.0
param_NN__hidden_layer_sizes,"(36, 36)","(100, 25, 100)","(36, 36)","(36, 36)","(36, 36)","(36, 36)"
param_NN__learning_rate_init,0.016,,0.016,0.016,0.016,0.016
params,"{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (36, 36), 'NN__learning_rate_init': 0.016}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100)}","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (36, 36), 'NN__learning_rate_init': 0.016}","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (36, 36), 'NN__learning_rate_init': 0.016}","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (36, 36), 'NN__learning_rate_init': 0.016}","{'NN__activation': 'relu', 'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (36, 36), 'NN__learning_rate_init': 0.016}"
rank_test_score,1,1,1,1,1,1
split0_test_score,0.7637096774193547,0.7381720430107526,0.25,0.3392857142857142,0.7629032258064516,0.6192396313364054
split0_train_score,0.8160976189437378,0.7888232071843682,0.25,0.37531227392994543,0.7985375283867291,0.6126452860678276
split1_test_score,0.7776881720430108,0.8203725038402457,0.25,0.3732718894009216,0.7629032258064516,0.5136520737327188
split1_train_score,0.7683664409175285,0.8496691377573693,0.25,0.35749732783631083,0.7519056602040513,0.4614543400475098
split2_test_score,0.7172043010752688,0.749673579109063,0.2500000000000001,0.4748655913978497,0.7833333333333334,0.64815668202765
split2_train_score,0.7209988885801613,0.8169042201412305,0.2500000000000001,0.42447320201557504,0.7990119878144331,0.6449010485895733
split3_test_score,0.7103037766830871,0.6192118226600986,0.25,0.4531198686371101,0.7217569786535304,0.5962438423645321
split3_train_score,0.7877790060446409,0.6659531508768285,0.25,0.408955276243655,0.7848683261194728,0.6197275878050627
split4_test_score,0.7097062579821201,0.6514367816091954,0.261111111111111,0.4111111111111111,0.6842273307790551,0.6128671775223499
split4_train_score,0.7558165284306445,0.6842317694770831,0.2769686768149883,0.4182715744234519,0.7891731787677085,0.6196539591446335
std_fit_time,0.018509539662456043,0.10942269797490778,0.010476554046091971,0.016149231298307483,0.03286329773330253,0.055296998252762436
std_score_time,0.006152099592290022,0.006239986419677736,0.0003999948608169695,0.000400018706226792,0.000632409699322999,0.0036877056544636654
std_test_score,0.029067087301632443,0.07213567307578463,0.004410301244061371,0.05000536416123337,0.03540360763531545,0.04564180425115553
std_train_score,0.03176745044459155,0.07306001067486749,0.010787470725995308,0.026003675970573438,0.017273196400630502,0.06603022830739813
