k,GMM,Kmeans
2,0.886734693877551,0.886734693877551
3,0.886734693877551,0.886734693877551
4,0.886734693877551,0.886734693877551
5,0.886734693877551,0.886734693877551
6,0.8887755102040816,0.886734693877551
7,0.8969387755102041,0.8969387755102041
8,0.9,0.8979591836734694
9,0.9,0.8989795918367347
10,0.8989795918367347,0.8979591836734694
15,0.8989795918367347,0.8989795918367347
20,0.8979591836734694,0.8969387755102041
25,0.8948979591836734,0.9010204081632653
30,0.8989795918367347,0.8969387755102041
35,0.8969387755102041,0.8979591836734694
40,0.8979591836734694,0.9
