k,GMM,Kmeans
2,0.00018559770940321309,0.0004247184986363556
3,-0.0001879307608714983,0.0020659200874308253
4,0.04389159828129518,0.03568972522085545
5,0.041941813753692575,0.027320915218056564
6,0.03585987077512197,0.025010549863862894
7,0.02141617204635189,0.03160864074353484
8,0.029967594097143103,0.029233463003023295
9,0.03164953942076345,0.024780139550606314
10,0.03225320684318134,0.021533959195731835
15,0.02716969035424156,0.0205407906856446
20,0.018261306547938113,0.019727958089727212
25,0.0188061844493479,0.019188470392295053
30,0.018454790199253033,0.014722143486347606
35,0.01765105118503618,0.016435198844618047
40,0.017491011843812167,0.014851728638731089
