,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.1057999610900879,0.008255938147349652,0.00260009765625,0.0004898040465379741,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1372000217437744,0.014797346614527838,0.002399921417236328,0.0004898819214545809,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.14160003662109374,0.02739789615584804,0.0027998924255371095,0.000400018706226792,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.12179999351501465,0.014729588724913393,0.00279998779296875,0.0003999471771024199,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.13439998626708985,0.015094436414076725,0.0028000354766845705,0.0003999710083007813,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.16439995765686036,0.044481888068059826,0.00279998779296875,0.0003999471771024199,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.16120009422302245,0.025786842119631143,0.002599954605102539,0.0004898819214545809,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.20179986953735352,0.01889338311932104,0.0028000831604003905,0.0003999948892390431,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.0,0.0,0.0,0.36864406779661013,0.0,0.07372881355932202,0.14745762711864405,73,0.0,0.0,0.0,0.3328632626453453,0.0,0.06657265252906906,0.13314530505813812
8,0.21740002632141114,0.030453882192483676,0.0027999401092529295,0.00040004254453151935,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2560000419616699,0.029752236304058637,0.0035999298095703127,0.0004899208473093903,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.44479999542236326,0.12403121828394871,0.004199981689453125,0.0014697106187279798,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.575,0.16333026457159414,0.0039999961853027345,9.536743164062499e-08,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.6350000858306885,0.10150666014149862,0.004600000381469726,0.0004898429878647236,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.6085999488830567,0.10625930871452377,0.005000019073486328,1.1680077279964342e-07,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.0,0.0,0.0,0.0,0.16491897044804574,0.03281550942588665,0.06584103864889217,95,0.0,0.0650363392495088,0.0,0.0,0.1642986765812418,0.045867003166150125,0.06435040116752432
