k,type,score,label
2,Kmeans,0.098449,0
2,Kmeans,0.194046,1
2,Kmeans,0.123538,1
2,Kmeans,0.130245,1
2,Kmeans,0.132046,0
2,Kmeans,0.107936,0
2,Kmeans,0.232813,1
2,Kmeans,0.087679,0
2,Kmeans,0.184363,1
2,Kmeans,0.119908,1
2,Kmeans,0.195692,1
2,Kmeans,0.160947,1
2,Kmeans,0.096238,0
2,Kmeans,0.126995,0
2,Kmeans,0.105852,1
2,Kmeans,0.108685,1
2,Kmeans,0.091592,0
2,Kmeans,0.116946,0
2,Kmeans,0.097385,0
2,Kmeans,0.113042,0
2,Kmeans,0.130683,0
2,Kmeans,0.192655,1
2,Kmeans,0.142862,0
2,Kmeans,0.082612,0
2,Kmeans,0.209662,1
2,Kmeans,0.225756,1
2,Kmeans,0.203932,1
2,Kmeans,0.119051,1
2,Kmeans,0.11476,0
2,Kmeans,0.204392,1
2,Kmeans,0.153588,1
2,Kmeans,0.116466,0
2,Kmeans,0.072125,0
2,Kmeans,0.230726,1
2,Kmeans,0.136267,0
2,Kmeans,0.076477,0
2,Kmeans,0.028604,0
2,Kmeans,0.239362,1
2,Kmeans,0.001094,0
2,Kmeans,0.068085,0
2,Kmeans,0.038415,0
2,Kmeans,0.116233,0
2,Kmeans,0.107159,1
2,Kmeans,0.212118,1
2,Kmeans,0.221623,1
2,Kmeans,0.074314,0
2,Kmeans,0.229661,1
2,Kmeans,0.117102,1
2,Kmeans,0.130879,0
2,Kmeans,0.085195,0
2,Kmeans,0.110608,0
2,Kmeans,0.049444,0
2,Kmeans,0.087843,0
2,Kmeans,0.112477,0
2,Kmeans,0.224683,1
2,Kmeans,0.229064,1
2,Kmeans,0.063647,0
2,Kmeans,0.186594,1
2,Kmeans,0.058936,1
2,Kmeans,0.205118,1
2,Kmeans,0.116292,0
2,Kmeans,0.191335,1
2,Kmeans,0.205976,1
2,Kmeans,0.104453,0
2,Kmeans,-0.048578,0
2,Kmeans,0.102056,0
2,Kmeans,0.116581,0
2,Kmeans,0.079434,1
2,Kmeans,0.117901,0
2,Kmeans,0.102934,1
2,Kmeans,0.120423,0
2,Kmeans,0.178812,1
2,Kmeans,0.104968,0
2,Kmeans,0.069761,0
2,Kmeans,0.102873,1
2,Kmeans,0.076058,0
2,Kmeans,0.222779,1
2,Kmeans,0.130093,0
2,Kmeans,0.082039,0
2,Kmeans,0.123927,0
2,Kmeans,0.079119,0
2,Kmeans,0.224714,1
2,Kmeans,0.23241,1
2,Kmeans,0.163469,1
2,Kmeans,0.117992,0
2,Kmeans,0.051675,0
2,Kmeans,0.08284,0
2,Kmeans,0.099211,0
2,Kmeans,0.068301,0
2,Kmeans,0.074939,0
2,Kmeans,0.124825,0
2,Kmeans,0.09393,0
2,Kmeans,0.092887,0
2,Kmeans,0.114107,0
2,Kmeans,0.113488,0
2,Kmeans,0.138536,1
2,Kmeans,0.102822,0
2,Kmeans,0.25168,1
2,Kmeans,0.090609,0
2,Kmeans,0.109262,0
2,Kmeans,0.231308,1
2,Kmeans,0.124551,0
2,Kmeans,0.165358,1
2,Kmeans,0.190351,1
2,Kmeans,0.196792,1
2,Kmeans,0.163859,1
2,Kmeans,0.084912,0
2,Kmeans,0.060108,0
2,Kmeans,0.086983,0
2,Kmeans,0.107332,0
2,Kmeans,0.177183,1
2,Kmeans,0.084363,0
2,Kmeans,0.127425,0
2,Kmeans,0.218413,1
2,Kmeans,0.04967,1
2,Kmeans,0.052418,0
2,Kmeans,0.220702,1
2,Kmeans,0.249018,1
2,Kmeans,0.140635,0
2,Kmeans,0.047512,0
2,Kmeans,0.119343,0
2,Kmeans,0.241053,1
2,Kmeans,0.108771,1
2,Kmeans,0.126702,0
2,Kmeans,0.113619,0
2,Kmeans,0.143041,1
2,Kmeans,0.084429,0
2,Kmeans,0.130347,0
2,Kmeans,0.140307,0
2,Kmeans,0.142895,0
2,Kmeans,0.2302,1
2,Kmeans,0.173598,1
2,Kmeans,0.22466,1
2,Kmeans,0.227745,1
2,Kmeans,0.097342,0
2,Kmeans,0.120541,0
2,Kmeans,0.154101,1
2,Kmeans,0.189672,1
2,Kmeans,0.223482,1
2,Kmeans,0.106786,0
2,Kmeans,0.156304,1
2,Kmeans,0.092195,0
2,Kmeans,0.076092,0
2,Kmeans,0.20209,1
2,Kmeans,0.105036,0
2,Kmeans,0.102654,0
2,Kmeans,0.087232,1
2,Kmeans,0.064631,0
2,Kmeans,0.075686,0
2,Kmeans,0.175851,1
2,Kmeans,0.073944,1
2,Kmeans,0.203792,1
2,Kmeans,-0.026487,0
2,Kmeans,0.111726,0
2,Kmeans,0.125855,1
2,Kmeans,0.238214,1
2,Kmeans,0.07122,1
2,Kmeans,0.185638,1
2,Kmeans,0.22426,1
2,Kmeans,0.077525,0
2,Kmeans,0.124664,0
2,Kmeans,0.140794,1
2,Kmeans,0.088292,0
2,Kmeans,0.127011,0
2,Kmeans,0.079443,0
2,Kmeans,0.059318,0
2,Kmeans,0.141665,0
2,Kmeans,0.14795,0
2,Kmeans,0.102222,0
2,Kmeans,0.069781,0
2,Kmeans,0.134015,0
2,Kmeans,0.152448,1
2,Kmeans,0.085829,0
2,Kmeans,0.122158,0
2,Kmeans,0.092397,0
2,Kmeans,0.170659,1
2,Kmeans,0.114062,1
2,Kmeans,0.239579,1
2,Kmeans,0.115845,0
2,Kmeans,0.138917,1
2,Kmeans,0.10582,0
2,Kmeans,0.107406,1
2,Kmeans,0.139571,1
2,Kmeans,0.195239,1
2,Kmeans,0.146907,1
2,Kmeans,0.044323,0
2,Kmeans,0.128831,0
2,Kmeans,0.1276,0
2,Kmeans,0.118988,0
2,Kmeans,0.135808,0
2,Kmeans,0.086681,0
2,Kmeans,0.067506,0
2,Kmeans,0.133127,0
2,Kmeans,0.076897,0
2,Kmeans,0.132012,1
2,Kmeans,0.223872,1
2,Kmeans,0.071042,0
2,Kmeans,0.201307,1
2,Kmeans,0.118679,0
2,Kmeans,0.135236,0
2,Kmeans,0.11725,0
2,Kmeans,0.074479,0
2,Kmeans,0.056203,1
2,Kmeans,0.218247,1
2,Kmeans,0.162713,0
2,Kmeans,0.177158,1
2,Kmeans,0.129266,0
2,Kmeans,0.12103,0
2,Kmeans,0.193991,1
2,Kmeans,0.241178,1
2,Kmeans,0.082122,0
2,Kmeans,0.229529,1
2,Kmeans,0.117714,1
2,Kmeans,0.057292,0
2,Kmeans,0.167888,1
2,Kmeans,0.220761,1
2,Kmeans,0.068586,1
2,Kmeans,0.202654,1
2,Kmeans,0.093894,0
2,Kmeans,0.057178,0
2,Kmeans,0.200124,1
2,Kmeans,0.085565,1
2,Kmeans,0.151465,1
2,Kmeans,0.063328,0
2,Kmeans,0.085455,1
2,Kmeans,0.166522,1
2,Kmeans,0.103915,1
2,Kmeans,0.190499,1
2,Kmeans,0.104128,0
2,Kmeans,0.132816,0
2,Kmeans,0.115232,0
2,Kmeans,0.117217,0
2,Kmeans,0.219418,1
2,Kmeans,0.104845,0
2,Kmeans,0.19595,1
2,Kmeans,0.078756,0
2,Kmeans,0.129712,0
2,Kmeans,0.185999,1
2,Kmeans,0.172947,1
2,Kmeans,0.179133,1
2,Kmeans,0.115103,0
2,Kmeans,0.209736,1
2,Kmeans,0.123953,0
2,Kmeans,0.121099,1
2,Kmeans,0.191735,1
2,Kmeans,0.098159,0
2,Kmeans,0.146102,1
2,Kmeans,0.169162,1
2,Kmeans,0.039825,0
2,Kmeans,0.119412,0
2,Kmeans,0.103561,0
2,Kmeans,0.131122,0
2,Kmeans,0.209466,1
2,Kmeans,0.050051,1
2,Kmeans,0.068505,0
2,Kmeans,0.196315,1
2,Kmeans,0.06957,0
2,Kmeans,0.156304,1
2,Kmeans,0.158766,1
2,Kmeans,0.13936,0
2,Kmeans,0.145689,0
2,Kmeans,0.12372,0
