k,GMM,Kmeans
2,0.13163773934499765,0.1310570264878579
3,0.15629050891528104,0.1522172688989475
4,0.14300411673149038,0.21058434742668627
5,0.11158173069956637,0.161888846257724
6,0.13660738971822253,0.16373689723368604
7,0.13821592817276462,0.19030906879827314
8,0.15653743868894843,0.210862532940672
9,0.16550634762134364,0.1942182755355479
10,0.17397294068099117,0.19846122665478574
15,0.15927890167151523,0.21371696862833295
20,0.12908533990175985,0.21216954248494244
25,0.0993226370988365,0.2182516632765304
30,0.14264508309544174,0.21134814509912356
35,0.16336611438618395,0.22054265817833205
40,0.1411689635017958,0.21298667009091163
