k,GMM,Kmeans
2,0.26811594202898553,0.26570048309178745
3,0.35990338164251207,0.3743961352657005
4,0.4057971014492754,0.3695652173913043
5,0.38405797101449274,0.41545893719806765
6,0.3961352657004831,0.4227053140096618
7,0.4444444444444444,0.4492753623188406
8,0.45652173913043476,0.4830917874396135
9,0.4855072463768116,0.46859903381642515
10,0.49516908212560384,0.48792270531400966
15,0.5144927536231884,0.5120772946859904
20,0.5241545893719807,0.5241545893719807
25,0.5555555555555556,0.5483091787439613
30,0.5942028985507246,0.5966183574879227
35,0.6111111111111112,0.6014492753623188
40,0.6328502415458938,0.6038647342995169
