k,GMM,Kmeans
2,0.00849301876079872,0.004984813125511396
3,0.09007308208163432,0.10373486578205483
4,0.14082329675149444,0.09276487001617588
5,0.13908852485753814,0.14540587806146307
6,0.12664971463026986,0.13339642391907822
7,0.12975045874294508,0.12669971376304415
8,0.1186654256783352,0.15480058417738246
9,0.152350863289849,0.13191650242743397
10,0.16098621748517095,0.13981341590734167
15,0.14407480918685867,0.12959075133007092
20,0.14774780555774325,0.13151994126112554
25,0.14892135246007712,0.13983685355513936
30,0.14824733595137252,0.14005280168766132
35,0.14389680735410368,0.13466801427319788
40,0.14326565798858554,0.12587786927791242
