k,type,score,label
2,Kmeans,0.792359,0
2,Kmeans,0.771458,0
2,Kmeans,0.759859,0
2,Kmeans,0.761367,0
2,Kmeans,0.830102,0
2,Kmeans,0.772711,0
2,Kmeans,0.456968,1
2,Kmeans,0.819833,0
2,Kmeans,0.768542,0
2,Kmeans,0.784421,0
2,Kmeans,0.836963,0
2,Kmeans,0.826102,0
2,Kmeans,0.781014,0
2,Kmeans,0.797889,0
2,Kmeans,0.843224,0
2,Kmeans,0.759092,0
2,Kmeans,0.84499,0
2,Kmeans,0.824993,0
2,Kmeans,0.743472,0
2,Kmeans,0.776605,0
2,Kmeans,0.838048,0
2,Kmeans,0.710275,0
2,Kmeans,0.838598,0
2,Kmeans,0.788284,0
2,Kmeans,0.784978,0
2,Kmeans,0.752007,0
2,Kmeans,0.839812,0
2,Kmeans,0.802838,0
2,Kmeans,0.771406,0
2,Kmeans,0.636433,0
2,Kmeans,0.808662,0
2,Kmeans,0.825398,0
2,Kmeans,0.793947,0
2,Kmeans,0.799479,0
2,Kmeans,0.765263,0
2,Kmeans,0.799664,0
2,Kmeans,0.831172,0
2,Kmeans,0.770724,0
2,Kmeans,0.7835,0
2,Kmeans,0.785274,0
2,Kmeans,0.769438,0
2,Kmeans,0.817586,0
2,Kmeans,0.783166,0
2,Kmeans,0.819426,0
2,Kmeans,0.763993,0
2,Kmeans,0.785259,0
2,Kmeans,0.790276,0
2,Kmeans,0.742599,0
2,Kmeans,0.844534,0
2,Kmeans,0.787715,0
2,Kmeans,0.800478,0
2,Kmeans,0.829505,0
2,Kmeans,0.835538,0
2,Kmeans,0.769436,0
2,Kmeans,0.804324,0
2,Kmeans,0.779245,0
2,Kmeans,0.808561,0
2,Kmeans,0.795688,0
2,Kmeans,0.791546,0
2,Kmeans,0.81367,0
2,Kmeans,0.802274,0
2,Kmeans,0.762337,0
2,Kmeans,0.838932,0
2,Kmeans,0.812161,0
2,Kmeans,0.79332,0
2,Kmeans,0.820631,0
2,Kmeans,0.832412,0
2,Kmeans,0.717047,0
2,Kmeans,0.837313,0
2,Kmeans,0.812053,0
2,Kmeans,0.806368,0
2,Kmeans,0.808078,0
2,Kmeans,0.786371,0
2,Kmeans,0.822976,0
2,Kmeans,0.786409,0
2,Kmeans,0.758136,0
2,Kmeans,0.793782,0
2,Kmeans,0.833134,0
2,Kmeans,0.819158,0
2,Kmeans,0.839587,0
2,Kmeans,0.766068,0
2,Kmeans,0.845991,0
2,Kmeans,0.747584,0
2,Kmeans,0.850825,0
2,Kmeans,0.828621,0
2,Kmeans,0.82212,0
2,Kmeans,0.699543,0
2,Kmeans,0.846391,0
2,Kmeans,0.841879,0
2,Kmeans,0.848084,0
2,Kmeans,0.839138,0
2,Kmeans,0.839099,0
2,Kmeans,0.760036,0
