k,GMM,Kmeans
2,0.6913977466445544,0.7954431629720173
3,0.36710073512429814,0.3579787293655863
4,0.33464267688963223,0.4302529756939499
5,0.3985930071548478,0.4283866405306958
6,0.3315945790414044,0.3737079417879176
7,0.2817345326089353,0.35590951916127356
8,0.2734892119489508,0.3421861192386027
9,0.23995763799728667,0.34497163193730257
10,0.25788753511314966,0.3228640634365933
15,0.30366282097985703,0.3260817215587783
20,0.26691562984240047,0.3124540643005572
25,0.26704153928037255,0.3121736552850996
30,0.24256868226540054,0.3084181802896641
35,0.2216715516312589,0.3092063596239632
40,0.23316401461102018,0.30457237013920563
