k,GMM,Kmeans
2,0.0630632505427392,0.06050240113103519
3,0.04654213214030942,0.04633667332680029
4,0.03701427868279546,0.03684186692361818
5,0.03464440861276566,0.03501885750305538
6,0.03302324043083856,0.027647536002250814
7,0.02615357063234886,0.026441701766632856
8,0.023794164418179352,0.02810432124459349
9,0.021241587547666505,0.024497390649056067
10,0.02312728923913229,0.024128045318267757
15,0.01956527394533313,0.01966476601919703
20,0.017895354027245236,0.018318018863110144
25,0.01683281005321076,0.017331747033877448
30,0.016569599894858407,0.015990254716055103
35,0.017342216667938868,0.016057754236885807
40,0.01644030583214727,0.015704540755676486
