k,type,score,label
2,Kmeans,0.849273,0
2,Kmeans,0.914451,1
2,Kmeans,0.918084,1
2,Kmeans,0.911187,1
2,Kmeans,0.907125,1
2,Kmeans,0.845533,0
2,Kmeans,0.91454,1
2,Kmeans,0.850231,0
2,Kmeans,0.917852,1
2,Kmeans,0.911905,1
2,Kmeans,0.918138,1
2,Kmeans,0.914884,1
2,Kmeans,0.821513,0
2,Kmeans,0.903777,1
2,Kmeans,0.836978,1
2,Kmeans,0.821656,0
2,Kmeans,0.90271,1
2,Kmeans,0.839625,0
2,Kmeans,0.805142,0
2,Kmeans,0.899602,1
2,Kmeans,0.491143,1
2,Kmeans,0.867217,1
2,Kmeans,0.907015,1
2,Kmeans,0.919109,1
2,Kmeans,0.917992,1
2,Kmeans,0.914844,1
2,Kmeans,0.916865,1
2,Kmeans,0.91886,1
2,Kmeans,0.459965,1
2,Kmeans,0.918873,1
2,Kmeans,0.91931,1
2,Kmeans,0.918452,1
2,Kmeans,0.897561,1
2,Kmeans,0.917657,1
2,Kmeans,0.451157,1
2,Kmeans,0.915697,1
2,Kmeans,0.691886,0
2,Kmeans,0.909794,1
2,Kmeans,0.648713,0
2,Kmeans,0.904879,1
2,Kmeans,0.687672,0
2,Kmeans,0.898524,1
2,Kmeans,0.892325,1
2,Kmeans,0.865209,1
2,Kmeans,0.907668,1
2,Kmeans,0.913091,1
2,Kmeans,0.870158,1
2,Kmeans,0.84178,0
2,Kmeans,0.894331,1
2,Kmeans,0.82589,0
2,Kmeans,0.846813,0
2,Kmeans,0.905232,1
2,Kmeans,0.91924,1
2,Kmeans,0.849896,0
2,Kmeans,0.911274,1
2,Kmeans,0.916921,1
2,Kmeans,0.819766,0
2,Kmeans,0.918242,1
2,Kmeans,0.522948,1
2,Kmeans,0.918895,1
2,Kmeans,0.740578,1
2,Kmeans,0.919332,1
2,Kmeans,0.919267,1
2,Kmeans,0.918223,1
2,Kmeans,0.91576,1
2,Kmeans,0.896627,1
2,Kmeans,0.918771,1
2,Kmeans,0.736155,0
2,Kmeans,0.919298,1
2,Kmeans,0.839708,0
2,Kmeans,0.893609,1
2,Kmeans,0.870295,1
2,Kmeans,0.908509,1
2,Kmeans,0.738578,0
2,Kmeans,0.898638,1
2,Kmeans,0.850464,0
2,Kmeans,0.917284,1
2,Kmeans,0.9002,1
2,Kmeans,0.880951,1
2,Kmeans,0.911802,1
2,Kmeans,0.808129,0
2,Kmeans,0.910742,1
2,Kmeans,0.91121,1
2,Kmeans,0.833794,0
2,Kmeans,0.918245,1
2,Kmeans,0.909427,1
2,Kmeans,0.821648,0
2,Kmeans,0.899306,1
2,Kmeans,0.848518,0
2,Kmeans,0.476969,1
2,Kmeans,0.919027,1
2,Kmeans,0.824101,0
2,Kmeans,0.814733,0
2,Kmeans,0.896327,1
2,Kmeans,0.832377,0
2,Kmeans,0.845378,0
2,Kmeans,0.846154,0
2,Kmeans,0.918676,1
2,Kmeans,0.919168,1
2,Kmeans,0.883809,1
2,Kmeans,0.912809,1
2,Kmeans,0.901678,1
2,Kmeans,0.865424,1
2,Kmeans,0.918684,1
2,Kmeans,0.917122,1
2,Kmeans,0.864347,1
2,Kmeans,0.826546,0
2,Kmeans,0.821316,0
2,Kmeans,0.846876,0
2,Kmeans,0.848932,0
2,Kmeans,0.525599,1
2,Kmeans,0.91933,1
2,Kmeans,0.909683,1
2,Kmeans,0.84812,1
2,Kmeans,0.914231,1
2,Kmeans,0.849086,0
2,Kmeans,0.872256,1
2,Kmeans,0.918816,1
2,Kmeans,0.83793,0
2,Kmeans,0.896367,1
2,Kmeans,0.901941,1
2,Kmeans,0.576711,1
2,Kmeans,0.804197,0
2,Kmeans,0.882788,1
