k,GMM,Kmeans
2,0.8313358951607831,0.8320693083887989
3,0.7708613691573892,0.7945672761214808
4,0.7796770280456318,0.7864964525347492
5,0.7967054745976003,0.7982158578956524
6,0.8008649325184118,0.7213487885246067
7,0.7358648533750365,0.7404297535768293
8,0.6781090836377778,0.7241869208387809
9,0.5889348965191892,0.6501287737203326
10,0.5888377043327818,0.6567047548763728
15,0.6499582154622683,0.664608289843578
20,0.6126801433635106,0.6501316601942775
25,0.5906347543285675,0.5973264220413625
30,0.5814207336874344,0.6047384768683127
35,0.583913498102724,0.587530569006065
40,0.5554223500396015,0.5852091255969988
