k,GMM,Kmeans
2,0.3526570048309179,0.3647342995169082
3,0.3719806763285024,0.3526570048309179
4,0.39855072463768115,0.42028985507246375
5,0.427536231884058,0.4444444444444444
6,0.4492753623188406,0.4492753623188406
7,0.4323671497584541,0.43719806763285024
8,0.4806763285024155,0.47101449275362317
9,0.4830917874396135,0.49516908212560384
10,0.4782608695652174,0.49516908212560384
15,0.4975845410628019,0.4975845410628019
20,0.5,0.5096618357487923
25,0.5072463768115942,0.5193236714975845
30,0.5096618357487923,0.5289855072463768
35,0.5241545893719807,0.5289855072463768
40,0.5289855072463768,0.5265700483091788
