k,GMM,Kmeans
2,0.06972074760303193,0.08002838093957472
3,0.07457563337774688,0.07011251057929593
4,0.11019494174371669,0.11715452773004423
5,0.1114655131929752,0.11219032478441947
6,0.12827619288364794,0.10544962973688764
7,0.10198521212783135,0.1089885807596995
8,0.11594259687379886,0.11175229817048134
9,0.11795198908563048,0.11538072122261048
10,0.10512577772471411,0.10900285353790827
15,0.0957818765850938,0.09567832664713989
20,0.08559464221686247,0.08661683399145903
25,0.0778372275946879,0.07907056007843828
30,0.07093417662113567,0.07225211993475869
35,0.06446726327923803,0.06815140597499099
40,0.06237999099812908,0.05994780314391295
