k,type,score,label
2,Kmeans,0.661141,1
2,Kmeans,0.756233,0
2,Kmeans,0.705069,1
2,Kmeans,0.481938,0
2,Kmeans,0.768809,1
2,Kmeans,0.79423,0
2,Kmeans,0.179954,1
2,Kmeans,0.801179,1
2,Kmeans,0.739134,0
2,Kmeans,0.801106,1
2,Kmeans,0.802455,1
2,Kmeans,0.79106,1
2,Kmeans,0.802529,1
2,Kmeans,0.681615,1
2,Kmeans,0.781293,1
2,Kmeans,0.754122,1
2,Kmeans,0.472894,1
2,Kmeans,0.794759,1
2,Kmeans,0.750287,0
2,Kmeans,0.798417,0
2,Kmeans,0.782908,1
2,Kmeans,0.725467,0
2,Kmeans,0.673481,1
2,Kmeans,0.804406,0
2,Kmeans,0.732453,1
2,Kmeans,0.755048,0
2,Kmeans,0.770721,1
2,Kmeans,0.804445,0
2,Kmeans,0.714927,1
2,Kmeans,0.734271,1
2,Kmeans,0.802155,1
2,Kmeans,0.795223,1
2,Kmeans,0.786637,1
2,Kmeans,0.735014,1
2,Kmeans,0.657361,1
2,Kmeans,0.772428,1
2,Kmeans,0.788011,1
2,Kmeans,0.784778,1
2,Kmeans,0.791952,1
2,Kmeans,0.799964,0
2,Kmeans,0.689778,1
2,Kmeans,0.7486,1
2,Kmeans,0.745673,1
2,Kmeans,0.570709,1
2,Kmeans,0.796987,1
2,Kmeans,0.787468,0
2,Kmeans,0.799823,0
2,Kmeans,0.775536,0
2,Kmeans,0.727441,1
2,Kmeans,0.798619,0
2,Kmeans,0.772169,0
2,Kmeans,0.489479,1
2,Kmeans,0.306297,0
2,Kmeans,0.763036,1
2,Kmeans,0.784484,1
2,Kmeans,0.765464,0
2,Kmeans,0.782607,1
2,Kmeans,0.80152,0
2,Kmeans,0.741727,1
2,Kmeans,0.764293,1
2,Kmeans,0.657002,0
2,Kmeans,0.64007,1
2,Kmeans,0.17152,0
2,Kmeans,0.765223,1
2,Kmeans,0.804377,0
2,Kmeans,0.668063,0
2,Kmeans,0.735127,1
2,Kmeans,0.684006,1
2,Kmeans,0.205376,1
2,Kmeans,0.786531,0
2,Kmeans,0.787667,1
2,Kmeans,0.764263,1
2,Kmeans,0.80224,1
2,Kmeans,0.680746,0
2,Kmeans,0.644438,1
2,Kmeans,0.763399,1
2,Kmeans,0.798583,0
2,Kmeans,0.550688,1
2,Kmeans,0.263047,1
2,Kmeans,0.747298,1
2,Kmeans,0.736459,1
2,Kmeans,0.668266,1
2,Kmeans,0.687954,1
2,Kmeans,0.319103,1
2,Kmeans,0.759123,1
2,Kmeans,0.802546,1
2,Kmeans,0.796707,1
2,Kmeans,0.254889,1
2,Kmeans,0.363508,0
2,Kmeans,0.739487,1
2,Kmeans,0.802351,1
2,Kmeans,0.678889,1
2,Kmeans,0.79182,0
2,Kmeans,0.759746,1
2,Kmeans,0.802516,1
2,Kmeans,0.798654,0
2,Kmeans,0.782866,0
2,Kmeans,0.80256,1
2,Kmeans,0.621008,1
2,Kmeans,0.794004,0
2,Kmeans,0.650966,0
2,Kmeans,0.435276,1
2,Kmeans,0.176522,0
2,Kmeans,0.799555,0
2,Kmeans,0.618453,0
2,Kmeans,0.801222,0
2,Kmeans,0.772016,0
2,Kmeans,0.802006,0
2,Kmeans,0.236275,0
2,Kmeans,0.03892,0
2,Kmeans,0.68064,1
2,Kmeans,0.233776,1
2,Kmeans,0.718187,0
2,Kmeans,0.79115,1
2,Kmeans,0.700237,0
2,Kmeans,0.672994,1
2,Kmeans,0.451716,0
2,Kmeans,0.782717,0
2,Kmeans,0.764207,1
2,Kmeans,0.796949,0
2,Kmeans,0.70986,1
2,Kmeans,0.745979,1
2,Kmeans,0.752639,0
2,Kmeans,0.734067,1
2,Kmeans,0.800242,1
2,Kmeans,0.802999,0
2,Kmeans,0.804433,0
2,Kmeans,0.751391,1
2,Kmeans,0.765371,1
2,Kmeans,0.802524,1
2,Kmeans,0.642681,1
2,Kmeans,0.719894,1
2,Kmeans,0.660559,0
2,Kmeans,0.662594,1
2,Kmeans,0.384628,1
2,Kmeans,0.796117,1
2,Kmeans,0.620591,1
2,Kmeans,0.213062,0
2,Kmeans,0.791187,0
2,Kmeans,0.127015,0
2,Kmeans,0.551288,1
2,Kmeans,0.799808,0
2,Kmeans,0.677408,1
2,Kmeans,0.179018,0
2,Kmeans,0.210579,0
2,Kmeans,0.792413,0
2,Kmeans,0.730826,1
2,Kmeans,0.010037,1
2,Kmeans,0.798549,0
2,Kmeans,0.667234,0
2,Kmeans,0.721266,0
2,Kmeans,0.800913,1
2,Kmeans,0.516279,1
2,Kmeans,0.778497,0
2,Kmeans,0.777967,1
2,Kmeans,0.0397,0
2,Kmeans,0.756193,0
2,Kmeans,0.540331,0
2,Kmeans,0.781898,1
2,Kmeans,0.799223,1
2,Kmeans,0.802706,0
2,Kmeans,0.76326,0
2,Kmeans,0.804319,0
2,Kmeans,0.685469,0
2,Kmeans,0.776813,1
2,Kmeans,0.802352,1
2,Kmeans,0.234302,0
2,Kmeans,0.625676,1
2,Kmeans,0.624601,1
2,Kmeans,0.780971,1
2,Kmeans,0.578286,0
2,Kmeans,0.79289,0
2,Kmeans,0.174992,1
2,Kmeans,0.794389,1
2,Kmeans,0.802548,1
2,Kmeans,0.151237,1
2,Kmeans,0.799812,1
2,Kmeans,0.801804,0
2,Kmeans,0.74958,1
2,Kmeans,0.398053,0
2,Kmeans,0.803449,0
2,Kmeans,0.198651,1
2,Kmeans,0.802362,1
2,Kmeans,0.79087,1
2,Kmeans,0.564852,1
2,Kmeans,0.769656,1
2,Kmeans,0.694607,0
2,Kmeans,0.308677,1
2,Kmeans,0.77848,1
2,Kmeans,0.789566,0
2,Kmeans,0.801358,1
2,Kmeans,0.785643,0
2,Kmeans,0.804315,0
2,Kmeans,0.521956,1
2,Kmeans,0.599168,1
2,Kmeans,0.160839,0
2,Kmeans,0.793726,1
2,Kmeans,0.785453,1
2,Kmeans,0.800365,1
2,Kmeans,0.792699,0
2,Kmeans,0.786189,1
2,Kmeans,0.786498,1
2,Kmeans,0.671737,1
2,Kmeans,0.78979,1
2,Kmeans,0.709835,1
2,Kmeans,0.715188,0
2,Kmeans,0.772229,0
2,Kmeans,0.508174,1
2,Kmeans,0.598246,1
2,Kmeans,0.797733,1
2,Kmeans,0.791378,0
2,Kmeans,0.790744,1
2,Kmeans,0.732196,1
2,Kmeans,0.512526,1
2,Kmeans,0.741193,1
2,Kmeans,0.753885,1
2,Kmeans,0.351623,1
2,Kmeans,0.681633,1
2,Kmeans,0.788203,1
2,Kmeans,0.77373,1
2,Kmeans,0.781619,0
2,Kmeans,0.654098,1
2,Kmeans,0.722125,0
2,Kmeans,0.796353,1
