k,GMM,Kmeans
2,0.6836673004749756,0.6824550435446313
3,0.559702920257949,0.562501341578024
4,0.5579705457371515,0.5959916784140691
5,0.5409755178964097,0.5572808972733296
6,0.565463897306813,0.5356714885881785
7,0.5349955563832701,0.5478167931482675
8,0.5596024276343626,0.558200086789694
9,0.5507508443283059,0.5672043738648459
10,0.5504971702523888,0.5657306721701438
15,0.5340950983120851,0.5518803962216348
20,0.557611790510982,0.5796677944977187
25,0.559067739791157,0.5536369870665753
30,0.5444773459666937,0.5767640753283254
35,0.5521903725034648,0.5738910541236362
40,0.5619228124340945,0.5928631044305949
