k,GMM,Kmeans
2,0.886734693877551,0.886734693877551
3,0.886734693877551,0.886734693877551
4,0.886734693877551,0.886734693877551
5,0.886734693877551,0.886734693877551
6,0.886734693877551,0.886734693877551
7,0.886734693877551,0.886734693877551
8,0.886734693877551,0.886734693877551
9,0.886734693877551,0.886734693877551
10,0.886734693877551,0.886734693877551
15,0.8877551020408163,0.8887755102040816
20,0.8928571428571429,0.8887755102040816
25,0.8928571428571429,0.8938775510204081
30,0.8948979591836734,0.8969387755102041
35,0.8969387755102041,0.8959183673469387
40,0.8989795918367347,0.8979591836734694
