k,GMM,Kmeans
2,0.06568163668461326,0.06568163668461326
3,0.04598384239669301,0.04598384239669301
4,0.048363555971669185,0.048363555971669185
5,0.047879060658380476,0.035975134509434466
6,0.03565459213594434,0.03436997478318647
7,0.03401876983156703,0.03188142104649874
8,0.031441806771092685,0.03161183206334727
9,0.029599688392025314,0.03184532755486219
10,0.029024390661165782,0.029721592616452363
15,0.02691857336756248,0.027034245132353776
20,0.029329716197373273,0.027413196866369942
25,0.026767870620628843,0.02778405195707873
30,0.02762968811175212,0.028279848374135885
35,0.026849989880023527,0.024958824808199654
40,0.025491968014497646,0.02335478575225513
