k,type,score,label
2,Kmeans,0.942365,1
2,Kmeans,0.95841,0
2,Kmeans,0.959258,0
2,Kmeans,0.959426,0
2,Kmeans,0.955521,0
2,Kmeans,0.943059,1
2,Kmeans,0.959426,0
2,Kmeans,0.943059,1
2,Kmeans,0.955521,0
2,Kmeans,0.959258,0
2,Kmeans,0.959067,0
2,Kmeans,0.959258,0
2,Kmeans,0.930882,1
2,Kmeans,0.955832,0
2,Kmeans,0.959624,0
2,Kmeans,0.943059,1
2,Kmeans,0.959067,0
2,Kmeans,0.930882,1
2,Kmeans,0.943219,1
2,Kmeans,0.959426,0
2,Kmeans,0.724568,0
2,Kmeans,0.956129,0
2,Kmeans,0.955521,0
2,Kmeans,0.959603,0
2,Kmeans,0.95886,0
2,Kmeans,0.959629,0
2,Kmeans,0.959426,0
2,Kmeans,0.955741,0
2,Kmeans,0.76437,0
2,Kmeans,0.95841,0
2,Kmeans,0.955521,0
2,Kmeans,0.95954,0
2,Kmeans,0.955637,0
2,Kmeans,0.955521,0
2,Kmeans,0.747525,0
2,Kmeans,0.959258,0
2,Kmeans,0.885922,1
2,Kmeans,0.95954,0
2,Kmeans,0.916892,1
2,Kmeans,0.959258,0
2,Kmeans,0.919767,1
2,Kmeans,0.955521,0
2,Kmeans,0.959603,0
2,Kmeans,0.956129,0
2,Kmeans,0.959603,0
2,Kmeans,0.959258,0
2,Kmeans,0.959603,0
2,Kmeans,0.910211,1
2,Kmeans,0.955348,0
2,Kmeans,0.936924,1
2,Kmeans,0.936924,1
2,Kmeans,0.95954,0
2,Kmeans,0.95954,0
2,Kmeans,0.939962,1
2,Kmeans,0.95841,0
2,Kmeans,0.955348,0
2,Kmeans,0.893424,1
2,Kmeans,0.955521,0
2,Kmeans,0.776007,0
2,Kmeans,0.957913,0
2,Kmeans,0.957985,0
2,Kmeans,0.959426,0
2,Kmeans,0.959258,0
2,Kmeans,0.959629,0
2,Kmeans,0.959426,0
2,Kmeans,0.955521,0
2,Kmeans,0.959426,0
2,Kmeans,0.91772,1
2,Kmeans,0.95841,0
2,Kmeans,0.917276,1
2,Kmeans,0.955159,0
2,Kmeans,0.956129,0
2,Kmeans,0.95841,0
2,Kmeans,0.936924,1
