k,GMM,Kmeans
2,0.9278872810323557,0.9278872810323557
3,0.9249347381847798,0.9249347381847798
4,0.890571125699153,0.890571125699153
5,0.8865161983210995,0.904860367237307
6,0.9017707039975598,0.8946821625073075
7,0.8911833156475577,0.8570255348674712
8,0.839289557559586,0.8539358716277239
9,0.8482932550795428,0.8586618563262535
10,0.8584598680150681,0.8567827962157156
15,0.8444439095398903,0.8413659795427416
20,0.8633239508223681,0.8560914576685867
25,0.8482108416168772,0.8633157052716464
30,0.8718609668379181,0.8726765729484792
35,0.8040272719721596,0.6825311201473728
40,0.8335504683351178,0.6855478623850918
