k,GMM,Kmeans
2,0.30676328502415456,0.26570048309178745
3,0.3188405797101449,0.38164251207729466
4,0.357487922705314,0.427536231884058
5,0.45893719806763283,0.45410628019323673
6,0.4758454106280193,0.45652173913043476
7,0.5289855072463768,0.45652173913043476
8,0.6086956521739131,0.5869565217391305
9,0.6086956521739131,0.5869565217391305
10,0.606280193236715,0.5942028985507246
15,0.6328502415458938,0.6183574879227053
20,0.6400966183574879,0.6666666666666666
25,0.6014492753623188,0.6570048309178744
30,0.5700483091787439,0.6618357487922706
35,0.6038647342995169,0.6763285024154589
40,0.6038647342995169,0.6908212560386473
