k,GMM,Kmeans
2,0.04001650372565705,0.004984813125511396
3,0.05923694907307886,0.10969383897240972
4,0.09164988340068894,0.16434369542973015
5,0.2512596631466345,0.1923436825446972
6,0.25866402216523815,0.20787055421054845
7,0.3099079164811724,0.24928971442884515
8,0.3198507307703033,0.297537447214258
9,0.3177512256952751,0.2952485304572546
10,0.2884898540161918,0.2680263172398357
15,0.23297078970621693,0.22876262717260956
20,0.22523346922519655,0.22424254319909256
25,0.17988428259429143,0.20593537564946987
30,0.15028038405681837,0.19510179243282683
35,0.16163696888017842,0.17399571404493105
40,0.15181332315229887,0.17231211859644416
