k,type,score,label
2,Kmeans,0.82539,0
2,Kmeans,0.80547,0
2,Kmeans,0.852989,0
2,Kmeans,0.86957,0
2,Kmeans,0.884915,0
2,Kmeans,0.778943,0
2,Kmeans,0.722988,1
2,Kmeans,0.872342,0
2,Kmeans,0.791118,0
2,Kmeans,0.872644,0
2,Kmeans,0.896938,0
2,Kmeans,0.894734,0
2,Kmeans,0.892414,0
2,Kmeans,0.813241,0
2,Kmeans,0.887104,0
2,Kmeans,0.886513,0
2,Kmeans,0.893823,0
2,Kmeans,0.888613,0
2,Kmeans,0.784826,0
2,Kmeans,0.772382,0
2,Kmeans,0.888075,0
2,Kmeans,0.71302,0
2,Kmeans,0.888195,0
2,Kmeans,0.827267,0
2,Kmeans,0.845946,0
2,Kmeans,0.792836,0
2,Kmeans,0.894687,0
2,Kmeans,0.812045,0
2,Kmeans,0.85817,0
2,Kmeans,0.635649,0
2,Kmeans,0.890812,0
2,Kmeans,0.893047,0
2,Kmeans,0.896697,0
2,Kmeans,0.889037,0
2,Kmeans,0.824413,0
2,Kmeans,0.880663,0
2,Kmeans,0.882461,0
2,Kmeans,0.853729,0
2,Kmeans,0.894734,0
2,Kmeans,0.833662,0
2,Kmeans,0.834656,0
2,Kmeans,0.846646,0
2,Kmeans,0.868323,0
2,Kmeans,0.864044,0
2,Kmeans,0.874758,0
2,Kmeans,0.80961,0
2,Kmeans,0.778943,0
2,Kmeans,0.82268,0
2,Kmeans,0.896327,0
2,Kmeans,0.808306,0
2,Kmeans,0.840635,0
2,Kmeans,0.877867,0
2,Kmeans,0.873084,0
2,Kmeans,0.889692,0
2,Kmeans,0.894905,0
2,Kmeans,0.791118,0
2,Kmeans,0.879794,0
2,Kmeans,0.840677,0
2,Kmeans,0.895476,0
2,Kmeans,0.863902,0
2,Kmeans,0.85871,0
2,Kmeans,0.816387,0
2,Kmeans,0.880581,0
2,Kmeans,0.893047,0
2,Kmeans,0.835417,0
2,Kmeans,0.849311,0
2,Kmeans,0.854256,0
2,Kmeans,0.851127,0
2,Kmeans,0.894436,0
2,Kmeans,0.835417,0
2,Kmeans,0.853034,0
2,Kmeans,0.879402,0
2,Kmeans,0.895392,0
2,Kmeans,0.85413,0
2,Kmeans,0.816435,0
2,Kmeans,0.863511,0
2,Kmeans,0.790047,0
2,Kmeans,0.88016,0
2,Kmeans,0.86167,0
2,Kmeans,0.887104,0
2,Kmeans,0.843401,0
2,Kmeans,0.879218,0
2,Kmeans,0.846646,0
2,Kmeans,0.886379,0
2,Kmeans,0.888613,0
2,Kmeans,0.894182,0
2,Kmeans,0.508471,0
2,Kmeans,0.890749,0
2,Kmeans,0.847308,0
2,Kmeans,0.89279,0
2,Kmeans,0.889692,0
2,Kmeans,0.890484,0
2,Kmeans,0.790047,0
2,Kmeans,0.890066,0
2,Kmeans,0.895944,0
2,Kmeans,0.817373,0
2,Kmeans,0.793565,0
2,Kmeans,0.892,0
2,Kmeans,0.805657,0
2,Kmeans,0.800641,0
2,Kmeans,0.660305,0
2,Kmeans,0.864044,0
2,Kmeans,0.856338,0
2,Kmeans,0.797515,0
2,Kmeans,0.854809,0
2,Kmeans,0.828568,0
2,Kmeans,0.80961,0
2,Kmeans,0.836081,0
2,Kmeans,0.879157,0
2,Kmeans,0.89279,0
2,Kmeans,0.859641,0
2,Kmeans,0.885928,0
2,Kmeans,0.850735,0
2,Kmeans,0.889503,0
2,Kmeans,0.820748,1
2,Kmeans,0.838294,0
2,Kmeans,0.85742,0
2,Kmeans,0.798181,0
2,Kmeans,0.895966,0
2,Kmeans,0.716158,1
2,Kmeans,0.835544,0
2,Kmeans,0.896552,0
2,Kmeans,0.843805,0
2,Kmeans,0.896979,0
2,Kmeans,0.890812,0
2,Kmeans,0.798717,0
2,Kmeans,0.828568,0
2,Kmeans,0.896697,0
2,Kmeans,0.863382,0
2,Kmeans,0.888075,0
2,Kmeans,0.875023,0
2,Kmeans,0.879402,0
2,Kmeans,0.87213,0
2,Kmeans,0.864044,0
2,Kmeans,0.885247,0
2,Kmeans,0.890066,0
2,Kmeans,0.821785,0
