k,GMM,Kmeans
2,0.6458795200818247,0.852637740175001
3,0.47451750644471025,0.5687197506096825
4,0.52615455220717,0.5610395577871142
5,0.41491436772322215,0.46912935153369784
6,0.47192940277548473,0.4900672997078602
7,0.40211416228462443,0.47504293626879773
8,0.489481446853435,0.500310974804778
9,0.48506638427077653,0.4970043471054023
10,0.4616753401490509,0.4341644959474134
15,0.3843073727236553,0.4061738413339779
20,0.35665921005797646,0.40545562805762986
25,-0.043748804242925515,0.38961632913290273
30,-0.04179546648510026,0.40781866915379333
35,-0.05621383614436044,0.4254210040755705
40,-0.031012962894872164,0.41742760823474995
