,0,1,2,3,4,5,6,7,8,9
2,0.824585675444301,0.836450882992635,0.8527657419055148,0.8195194033873768,0.9020435367213882,0.8635687545901094,0.8966534715376957,0.9285714285714269,0.862436268606366,0.9637687074810425
3,0.8129877933308647,0.7833929641037857,0.7749266124681002,0.7768675510715248,0.7383058553405186,0.8148430751014016,0.7778006574719208,0.8241896247218186,0.8045915916143987,0.8908461697135699
4,0.7534618617161735,0.6644683132687516,0.6966454585047966,0.7413289906372864,0.6450914961849582,0.7288629057008141,0.7611846698301474,0.7945294808470533,0.7027607566770809,0.8548871518434917
5,0.5913147735316396,0.6050966205446481,0.671323957767916,0.5730483272924812,0.6536488467997551,0.6337074500776207,0.6392363212777401,0.7297381246512766,0.6051693291417748,0.7314599059688157
6,0.5403071442061788,0.6479618189084094,0.5214293905111542,0.5625730187867642,0.6177864480018498,0.6080819640400794,0.621450951167029,0.666054677087141,0.5746252237421592,0.5851700181246593
7,0.47038919334034884,0.4908789566408752,0.5636311168600473,0.49266277012630727,0.5126120524015537,0.49132074388082697,0.5198143550417463,0.5195515606891832,0.5302918817356465,0.5613281794350913
8,0.404330035148514,0.4041271457357928,0.38681003433176075,0.41721256721154715,0.3968543003852433,0.3964641168370461,0.4836893515735618,0.5212280416073476,0.3994392086877234,0.5113100638825366
9,0.3065698822900376,0.4259882007844893,0.36580728351868125,0.40141372999677205,0.372986859287929,0.3962140390221029,0.3832084965848766,0.38325031670992676,0.4143363513736579,0.44449352677362974
10,0.27251299781198207,0.32758684594220056,0.24680235505926318,0.3495857765120313,0.28983712955774876,0.28534265994061997,0.26410756118510037,0.36492342930974364,0.32769589496372215,0.3069313640528637
15,1.165006936566149e-29,3.40396165389742e-30,6.218322114827167e-30,1.4826836669784661e-29,0.07142857142857013,3.289414450655703e-30,5.860856664974971e-30,0.05563472113595382,0.07142857142857024,5.413988327338452e-29
20,1.921714265830244e-30,2.5851551656213105e-30,1.4222782462061315e-30,3.0437222151696047e-30,1.947536209943105e-30,1.9873846477969857e-30,1.690809942423207e-30,2.776730583059682e-30,1.5754787002251052e-30,2.219214942169512e-30
25,1.6517465218440786e-30,1.7064922972698872e-30,2.2860391511610657e-30,2.4369508546916827e-30,2.1301190519172757e-30,2.022018855407217e-30,2.9603948703175037e-30,1.8715471921702185e-30,2.8395434053155297e-30,7.262130581641191e-30
30,3.2200043696540145e-30,2.767303220005566e-30,1.5234472370221502e-30,2.037466723216548e-30,2.134152062375348e-30,1.5781901058966372e-30,5.670098175308772e-30,4.1454790590463285e-30,1.7505221098960328e-30,1.7099037992032882e-30
35,5.508571591743256e-30,1.1880780247184846e-30,1.828142792744314e-30,1.4347330378653503e-30,1.1088520269064775e-30,1.8401184242720546e-30,5.3527831916239356e-30,9.468766953690271e-31,1.1433214660205192e-30,5.184586887733761e-30
40,1.5882893811378484e-30,8.203848670890565e-31,1.820032514130005e-30,3.3414720487157206e-30,1.597751586880877e-30,1.2962205950650665e-30,3.1424925093707553e-30,1.1914473295329456e-30,1.2043948653939356e-30,1.2981315626648372e-30
45,1.3105808453721798e-30,9.176887583226709e-31,9.154297654786035e-31,1.0187160217903483e-30,1.5195503964438128e-30,9.61338935673051e-31,1.186768847277413e-30,1.5635238696312606e-30,9.057637471551792e-30,2.1742172436543484e-30
50,1.4028884699216135e-30,1.1438792607170512e-30,1.0317893572335476e-30,7.580711339792468e-31,2.2298841286999964e-30,1.4325951016325224e-30,1.6115695632390727e-30,1.1800241183991398e-30,1.0418557924827684e-30,1.078916174894926e-29
55,1.520037450216572e-30,2.3824405000967443e-30,1.0362790370944817e-30,3.5475637884870584e-30,3.708303881926582e-30,7.083470920837921e-30,1.2047122770114318e-29,3.148359630633221e-30,1.2359937346367179e-30,5.4504007347662376e-30
60,1.4209791046656294e-30,1.3871803695799829e-30,2.5129341674498313e-30,1.4390020006888486e-30,4.823009311222419e-30,9.549060962871845e-31,1.1292013253177593e-30,4.925004210165232e-30,1.0098758663933222e-30,3.0029214336690747e-30
