k,GMM,Kmeans
2,0.07012501969940717,0.06389143500748487
3,0.047834423191112994,0.039307690286334324
4,0.03134013889417736,0.03157575133726598
5,0.03237304007158365,0.029202626967086705
6,0.032729501162060616,0.025222948290052227
7,0.03389413425981479,0.024807834857408846
8,0.03221596535889145,0.022678927548785074
9,0.028540003693635276,0.020143700417960736
10,0.030146102931064154,0.02665332353912297
15,0.02857880631119431,0.021760374883497222
20,0.02334493259740828,0.02060894578793183
25,0.024643570374978246,0.018422756068151372
30,0.0234601622995462,0.019615719989647284
35,0.02112986333114799,0.02154476714019847
40,0.018303811578940836,0.01883526704070364
