k,type,score,label
2,Kmeans,-0.006605,1
2,Kmeans,0.362986,0
2,Kmeans,0.162682,0
2,Kmeans,0.153826,0
2,Kmeans,0.431906,0
2,Kmeans,0.154436,1
2,Kmeans,0.456033,0
2,Kmeans,0.164006,1
2,Kmeans,0.350692,0
2,Kmeans,0.223693,0
2,Kmeans,0.385734,0
2,Kmeans,0.350673,0
2,Kmeans,0.177144,1
2,Kmeans,0.454397,0
2,Kmeans,0.269344,0
2,Kmeans,0.221188,1
2,Kmeans,0.344588,0
2,Kmeans,0.013014,1
2,Kmeans,0.106942,1
2,Kmeans,0.410365,0
2,Kmeans,0.326862,0
2,Kmeans,0.312838,0
2,Kmeans,0.455307,0
2,Kmeans,0.325831,0
2,Kmeans,0.428745,0
2,Kmeans,0.379357,0
2,Kmeans,0.43912,0
2,Kmeans,0.170187,0
2,Kmeans,0.235252,0
2,Kmeans,0.383161,0
2,Kmeans,0.196918,0
2,Kmeans,0.436122,0
2,Kmeans,0.148958,0
2,Kmeans,0.363498,0
2,Kmeans,0.293798,0
2,Kmeans,0.28722,0
2,Kmeans,0.079045,1
2,Kmeans,0.408549,0
2,Kmeans,0.156474,1
2,Kmeans,0.301309,0
2,Kmeans,0.13655,1
2,Kmeans,0.38007,0
2,Kmeans,0.206351,0
2,Kmeans,0.430187,0
2,Kmeans,0.37191,0
2,Kmeans,0.30998,0
2,Kmeans,0.392841,0
2,Kmeans,0.202887,1
2,Kmeans,0.398869,0
2,Kmeans,0.06917,1
2,Kmeans,0.192427,1
2,Kmeans,0.327491,0
2,Kmeans,0.395179,0
2,Kmeans,0.144432,1
2,Kmeans,0.432874,0
2,Kmeans,0.392028,0
2,Kmeans,0.172121,1
2,Kmeans,0.30118,0
2,Kmeans,0.245145,0
2,Kmeans,0.376403,0
2,Kmeans,0.279985,0
2,Kmeans,0.358804,0
2,Kmeans,0.44564,0
2,Kmeans,0.363648,0
2,Kmeans,0.417249,0
2,Kmeans,0.335761,0
2,Kmeans,0.355053,0
2,Kmeans,0.161846,1
2,Kmeans,0.436137,0
2,Kmeans,0.158048,1
2,Kmeans,0.399766,0
2,Kmeans,0.376351,0
2,Kmeans,0.365174,0
2,Kmeans,0.127998,1
2,Kmeans,0.130419,0
2,Kmeans,0.091224,1
2,Kmeans,0.372041,0
2,Kmeans,0.408724,0
2,Kmeans,0.304452,0
2,Kmeans,0.464733,0
2,Kmeans,0.088986,1
2,Kmeans,0.391427,0
2,Kmeans,0.420471,0
2,Kmeans,0.224034,1
2,Kmeans,0.388108,0
2,Kmeans,0.268226,0
2,Kmeans,0.068618,1
2,Kmeans,0.436776,0
2,Kmeans,0.207197,1
2,Kmeans,-0.055654,1
2,Kmeans,0.422429,0
2,Kmeans,0.144207,1
2,Kmeans,0.105345,1
2,Kmeans,0.35579,0
2,Kmeans,-0.000735,1
2,Kmeans,0.21704,1
2,Kmeans,0.153575,1
2,Kmeans,0.394238,0
2,Kmeans,0.309616,0
2,Kmeans,0.442427,0
2,Kmeans,0.459746,0
2,Kmeans,0.39248,0
2,Kmeans,0.385658,0
2,Kmeans,0.362865,0
2,Kmeans,0.242734,0
2,Kmeans,0.36762,0
2,Kmeans,0.038866,1
2,Kmeans,0.20317,1
2,Kmeans,0.217446,1
2,Kmeans,0.129202,1
2,Kmeans,0.244955,0
2,Kmeans,0.282055,0
2,Kmeans,0.424374,0
2,Kmeans,0.430493,0
2,Kmeans,0.357557,0
2,Kmeans,0.151274,1
2,Kmeans,0.393405,0
2,Kmeans,0.387541,0
2,Kmeans,0.137624,1
2,Kmeans,0.22955,0
2,Kmeans,0.431674,0
2,Kmeans,0.265965,0
2,Kmeans,0.243654,1
2,Kmeans,0.470656,0
2,Kmeans,0.423422,0
2,Kmeans,0.27677,0
2,Kmeans,0.298505,0
2,Kmeans,0.427664,0
2,Kmeans,0.317252,0
2,Kmeans,0.137564,1
2,Kmeans,0.456051,0
2,Kmeans,0.327041,0
2,Kmeans,0.402728,0
2,Kmeans,0.313013,0
2,Kmeans,0.343804,0
2,Kmeans,0.388761,0
2,Kmeans,0.138515,1
2,Kmeans,0.357215,0
2,Kmeans,0.444318,0
2,Kmeans,-0.001741,1
2,Kmeans,0.138414,1
2,Kmeans,0.198777,1
2,Kmeans,0.110642,1
2,Kmeans,0.432116,0
