k,GMM,Kmeans
2,0.28598832543517966,0.2889123306632652
3,0.07945927432487296,0.16655599166957155
4,0.10935928591676984,0.1864596921591891
5,0.029254880689421024,0.1719448288309931
6,0.043273357629627314,0.16290315298420072
7,0.06931671373501236,0.17778552589858637
8,0.07571105711656706,0.16852033619362422
9,0.011158479879237501,0.17628933056435006
10,0.11540855063023911,0.1838082051440607
15,0.019104746435543076,0.173804515596874
20,0.047120882322057314,0.19240664421060527
25,0.02453973595705898,0.20138287013055006
30,0.014886483121128261,0.19712564654171813
35,0.012468760100447344,0.20034644803207455
40,0.04213676286351219,0.19363004315682442
