k,GMM,Kmeans
2,0.4033816425120773,0.3719806763285024
3,0.4251207729468599,0.3695652173913043
4,0.4106280193236715,0.3719806763285024
5,0.4444444444444444,0.4082125603864734
6,0.46618357487922707,0.4420289855072464
7,0.4758454106280193,0.46618357487922707
8,0.49516908212560384,0.4806763285024155
9,0.4830917874396135,0.5144927536231884
10,0.4806763285024155,0.5193236714975845
15,0.5555555555555556,0.5628019323671497
20,0.5869565217391305,0.6086956521739131
25,0.5990338164251208,0.5966183574879227
30,0.6256038647342995,0.6473429951690821
35,0.644927536231884,0.6207729468599034
40,0.6400966183574879,0.6763285024154589
