k,GMM,Kmeans
2,0.13641727251821437,0.09982387936559163
3,0.16294581876833109,0.10477335346146514
4,0.14970650541143785,0.1068360782037681
5,0.1593290536724587,0.11464412378571855
6,0.17851105483051044,0.1517860903358799
7,0.16567246695938512,0.1768753093891801
8,0.18788082662201783,0.17828093028277398
9,0.1841337333533508,0.1798690228260706
10,0.15792371268139074,0.17783144569902987
15,0.16065164398924958,0.17077779356241946
20,0.16836842017960038,0.16744272375709895
25,0.1565815119508398,0.1460080472810461
30,0.166470480728886,0.1666966514435633
35,0.16279954309345543,0.14538038173145254
40,0.14867765066066593,0.15917117903332678
