k,type,score,label
2,Kmeans,0.520947,1
2,Kmeans,0.523749,0
2,Kmeans,0.50184,1
2,Kmeans,0.085779,0
2,Kmeans,0.448453,1
2,Kmeans,0.533109,0
2,Kmeans,0.151907,1
2,Kmeans,0.485568,1
2,Kmeans,0.583496,0
2,Kmeans,0.422812,1
2,Kmeans,0.476268,1
2,Kmeans,0.432601,1
2,Kmeans,0.401751,1
2,Kmeans,0.509136,1
2,Kmeans,0.441699,1
2,Kmeans,0.407305,1
2,Kmeans,0.208544,1
2,Kmeans,0.424062,1
2,Kmeans,0.568916,0
2,Kmeans,0.572206,0
2,Kmeans,0.448858,1
2,Kmeans,0.529868,0
2,Kmeans,0.322995,1
2,Kmeans,0.585949,0
2,Kmeans,0.471764,1
2,Kmeans,0.496892,0
2,Kmeans,0.416668,1
2,Kmeans,0.596648,0
2,Kmeans,0.46918,1
2,Kmeans,0.39013,1
2,Kmeans,0.435253,1
2,Kmeans,0.49619,1
2,Kmeans,0.444812,1
2,Kmeans,0.436309,1
2,Kmeans,0.475565,1
2,Kmeans,0.473296,1
2,Kmeans,0.398981,1
2,Kmeans,0.410938,1
2,Kmeans,0.384474,1
2,Kmeans,0.577382,0
2,Kmeans,0.474647,1
2,Kmeans,0.507614,1
2,Kmeans,0.480392,1
2,Kmeans,0.314058,1
2,Kmeans,0.435737,1
2,Kmeans,0.599353,0
2,Kmeans,0.58107,0
2,Kmeans,0.560864,0
2,Kmeans,0.369728,1
2,Kmeans,0.408921,0
2,Kmeans,0.480126,0
2,Kmeans,0.305164,1
2,Kmeans,0.157107,0
2,Kmeans,0.384027,1
2,Kmeans,0.437745,1
2,Kmeans,0.567318,0
2,Kmeans,0.499665,1
2,Kmeans,0.533286,0
2,Kmeans,0.335351,1
2,Kmeans,0.538629,1
2,Kmeans,0.366981,0
2,Kmeans,0.497459,1
2,Kmeans,0.071571,0
2,Kmeans,0.357669,1
2,Kmeans,0.593277,0
2,Kmeans,0.396664,0
2,Kmeans,0.404028,1
2,Kmeans,0.472387,1
2,Kmeans,-0.003297,1
2,Kmeans,0.556487,0
2,Kmeans,0.502735,1
2,Kmeans,0.48488,1
2,Kmeans,0.453354,1
2,Kmeans,0.46095,0
2,Kmeans,0.500174,1
2,Kmeans,0.42487,1
2,Kmeans,0.563124,0
2,Kmeans,0.342863,1
2,Kmeans,0.147428,1
2,Kmeans,0.32217,1
2,Kmeans,0.471266,1
2,Kmeans,0.328169,1
2,Kmeans,0.487656,1
2,Kmeans,0.075726,1
2,Kmeans,0.415383,1
2,Kmeans,0.414214,1
2,Kmeans,0.411013,1
2,Kmeans,0.078023,1
2,Kmeans,0.213337,0
2,Kmeans,0.397667,1
2,Kmeans,0.446277,1
2,Kmeans,0.383597,1
2,Kmeans,0.585794,0
2,Kmeans,0.38501,1
2,Kmeans,0.477662,1
2,Kmeans,0.573537,0
2,Kmeans,0.5016,0
2,Kmeans,0.350346,1
2,Kmeans,0.470895,1
2,Kmeans,0.55144,0
2,Kmeans,0.459633,0
2,Kmeans,0.259369,1
2,Kmeans,-0.038117,1
2,Kmeans,0.601455,0
2,Kmeans,0.37119,0
2,Kmeans,0.47947,0
2,Kmeans,0.552695,0
2,Kmeans,0.554472,0
2,Kmeans,0.194338,0
2,Kmeans,-0.038604,1
2,Kmeans,0.346247,1
2,Kmeans,0.141094,1
2,Kmeans,0.430233,0
2,Kmeans,0.457304,1
2,Kmeans,0.068105,1
2,Kmeans,0.475812,1
2,Kmeans,0.282584,0
2,Kmeans,0.51082,0
2,Kmeans,0.458937,1
2,Kmeans,0.033725,1
2,Kmeans,0.452196,1
2,Kmeans,0.421148,1
2,Kmeans,0.473196,0
2,Kmeans,0.357989,1
2,Kmeans,0.539275,1
2,Kmeans,0.570799,0
2,Kmeans,0.590428,0
2,Kmeans,0.358726,1
2,Kmeans,0.421262,1
2,Kmeans,0.501712,1
2,Kmeans,0.384937,1
2,Kmeans,0.394412,1
2,Kmeans,0.468523,0
2,Kmeans,0.315203,1
2,Kmeans,0.073712,1
2,Kmeans,0.438196,1
2,Kmeans,0.49942,1
2,Kmeans,0.151079,0
2,Kmeans,0.521598,0
2,Kmeans,-0.06104,1
2,Kmeans,0.221233,1
2,Kmeans,0.556522,0
2,Kmeans,0.455611,1
2,Kmeans,0.071891,0
2,Kmeans,-0.034835,1
2,Kmeans,0.544614,0
2,Kmeans,0.510771,1
2,Kmeans,0.108686,1
2,Kmeans,0.510908,0
2,Kmeans,0.25251,0
2,Kmeans,0.507425,0
2,Kmeans,0.415289,1
2,Kmeans,0.203762,1
2,Kmeans,0.585591,0
2,Kmeans,0.38731,1
2,Kmeans,0.113574,0
2,Kmeans,0.566866,0
2,Kmeans,0.32403,0
2,Kmeans,0.482643,1
2,Kmeans,0.375336,1
2,Kmeans,0.574447,0
2,Kmeans,0.546224,0
