k,GMM,Kmeans
2,0.36338360216346693,0.4072245853731551
3,0.30882343454131855,0.3196273821718543
4,0.23069621607444352,0.32984636828282643
5,0.19840731346160853,0.2862255444803968
6,0.19470358702474172,0.27577901487547746
7,0.15690783849358675,0.2726082190739283
8,0.22653740547253237,0.257969126749694
9,0.22436997345891246,0.24691735520953972
10,0.2053078425485534,0.24176667713398178
15,0.19798137447070285,0.19912304353321336
20,0.19390307328807305,0.20335892462792438
25,0.1641725346308252,0.1992353592376618
30,0.17379092540715751,0.1927068314326896
35,0.1632597764356683,0.19940421223350255
40,0.1569845589912985,0.1842623679878229
